Districts (adm2 level),Total population,men,women,urban_population,urban_population_men,urban_population_women,rural_population,rural_population_men,rural_population_women
Taskala district,"16,057","8,054","8,003",-,-,-,"16,057","8,054","8,003"
Terekti district,"38,939","19,653","19,286",-,-,-,"38,939","19,653","19,286"
Shyngyrlau district,"12,855","6,501","6,354",-,-,-,"12,855","6,501","6,354"
Taraz city,"433,788","208,393","225,395","433,788","208,393","225,395",-,-,-
Bayzak district,"106,521","54,173","52,348",-,-,-,"106,521","54,173","52,348"
Zhambyl district,"88,136","45,184","42,952",-,-,-,"88,136","45,184","42,952"
Zhualy district,"54,293","27,959","26,334",-,-,-,"54,293","27,959","26,334"
Korday district,"158,232","78,760","79,472",-,-,-,"158,232","78,760","79,472"
Turar Ryskulov district,"67,258","34,393","32,865",-,-,-,"67,258","34,393","32,865"
Merke district,"88,573","44,494","44,079",-,-,-,"88,573","44,494","44,079"
Moyinkum district,"28,277","14,533","13,744",-,-,-,"28,277","14,533","13,744"
Sarysu district,"43,943","22,302","21,641","25,778","12,710","13,068","18,165","9,592","8,573"
Talas district,"48,615","24,621","23,994","28,546","13,937","14,609","20,069","10,684","9,385"
Shu district,"106,034","52,992","53,042","45,479","22,074","23,405","60,555","30,918","29,637"
Taldykorgan city,"205,836","97,211","108,625","170,284","79,626","90,658","35,552","17,585","17,967"
Tekeli city,"30,938","14,217","16,721","30,011","13,764","16,247",927,453,474
Aksu district,"36,118","18,522","17,596",-,-,-,"36,118","18,522","17,596"
Alakol district,"74,168","37,618","36,550","21,029","10,550","10,479","53,139","27,068","26,071"
Eskeldy district,"51,648","25,978","25,670",-,-,-,"51,648","25,978","25,670"
Kerbulak district,"43,005","22,182","20,823",-,-,-,"43,005","22,182","20,823"
Koksu district,"41,870","20,879","20,991",-,-,-,"41,870","20,879","20,991"
Karatal district,"39,631","20,305","19,326","19,016","9,843","9,173","20,615","10,462","10,153"
Panfilov district,"134,422","67,884","66,538","53,285","26,649","26,636","81,137","41,235","39,902"
Sarkant district,"39,147","19,762","19,385","17,826","8,722","9,104","21,321","11,040","10,281"
Karaganda city,"522,872","243,505","279,367","522,872","243,505","279,367",-,-,-
Balkhash city,"77,608","37,455","40,153","77,608","37,455","40,153",-,-,-
Priozer city,"11,089","5,435","5,654","11,089","5,435","5,654",-,-,-
Saran city,"43,600","20,616","22,984","43,600","20,616","22,984",-,-,-
Temirtau city,"177,051","84,246","92,805","177,051","84,246","92,805",-,-,-
Shakhtinsk city,"57,905","28,392","29,513","57,905","28,392","29,513",-,-,-
Abay district,"58,394","28,824","29,570","28,549","13,838","14,711","29,845","14,986","14,859"
Aktogay district,"15,481","7,953","7,528",-,-,-,"15,481","7,953","7,528"
